S;BKE022508SES00000004;BKE022508INV00000008;175000;BKE02;0;0;2;28ESC5R1_5H20_5GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;176000;BKE02;0;0;2;28ESC5R1_5H20_6GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;177000;BKE02;0;0;2;28ESC5R1_5H21GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;178000;BKE02;0;0;2;28ESC5R90H21LB40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;179000;BKE02;0;0;2;28ESC5R90H21LB45GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;180000;BKE02;0;0;2;28ESCN50GAM;;A;ML;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;181000;BKE02;0;0;2;28RESC3GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;182000;BKE02;0;0;2;29CAN100X33X27GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;183000;BKE02;0;0;2;29CAN100X33X27VEGAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;184000;BKE02;0;0;2;29CAN100X35X31_5GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;185000;BKE02;0;0;2;29CAN15X23X100GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;186000;BKE02;0;0;2;29CAN22X22X100GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;187000;BKE02;0;0;2;29CAN50X23PTT03GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;188000;BKE02;0;0;2;29COUV100X33X27GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;189000;BKE02;0;0;2;29COUV100X33X27VEGAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;190000;BKE02;0;0;2;29COUV100X35X4_5GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;191000;BKE02;0;0;2;29COUV15X23X100GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;192000;BKE02;0;0;2;29COUV22X22X100GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;193000;BKE02;0;0;2;29COUVCAN02GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;194000;BKE02;0;0;2;29COUVPTT03GAM;;A;UN;0;BKE2;
